code,name,level,ward
mnvanhkhuyenq8,Mầm non Vành Khuyên,mn,phuongchanhhung
mnvietnhi,Mầm non Việt Nhi,mn,phuongchanhhung
mnvuonhongq8,_____Trường Mầm non Vườn Hồng_____ Phường Chánh Hưng,mn,phuongchanhhung
thauduonglan,Tiểu Học Âu Dương Lân,th,phuongchanhhung
thhungphu,Tiểu Học Hưng Phú,th,phuongchanhhung
thkhainguyenq8,TH Khai Nguyên,th,phuongchanhhung
thlynhantong,Tiểu Học Lý Nhân Tông,th,phuongchanhhung
thnguyentrucq8,Tiểu Học Nguyễn Trực,th,phuongchanhhung
thrachong,Tiểu Học Rạch Ông,th,phuongchanhhung
ththaihung,Tiểu Học Thái Hưng,th,phuongchanhhung
thtrandanhlam,Tiểu Học Trần Danh Lâm,th,phuongchanhhung
thvamcodong,Tiểu Học Vàm Cỏ Đông,th,phuongchanhhung
thcschanhhung,THCS Chánh Hưng,thcs,phuongchanhhung
thcsduongbatrac,THCS Dương Bá Trạc,thcs,phuongchanhhung
thcskhainguyen,THCS Khai Nguyên,thcs,phuongchanhhung
thcskhanhbinh,THCS Khánh Bình,thcs,phuongchanhhung
thcslythanhtong,THCS Lý Thánh Tông,thcs,phuongchanhhung
thcstrandanhninh,THCS Trần Danh Ninh,thcs,phuongchanhhung
mghoami2q5,Mầm non Họa Mi 2,mn,phuongcholon
mgvanlang,Mẫu giáo Văn Lang,mn,phuongcholon
mn10q5,Mầm non 10,mn,phuongcholon
mn11q5,Mầm non 11,mn,phuongcholon
mn12q5,Mầm non 12,mn,phuongcholon
mn13q5,Mầm non 13,mn,phuongcholon
mn14bq5,Mầm non 14B,mn,phuongcholon
mnandiem,Mầm non An Điềm,mn,phuongcholon
mnhoami1q5,Mầm non Họa Mi 1,mn,phuongcholon
thchinhnghia,Tiểu Học Chính Nghĩa,th,phuongcholon
thhungvuongq5,Tiểu học Hùng Vương,th,phuongcholon
thledinhchinhq5,Tiểu Học Lê Đình Chinh,th,phuongcholon
thlycanhhon,Tiểu Học Lý Cảnh Hớn,th,phuongcholon
thminhdao,Tiểu Học Minh Đạo,th,phuongcholon
thnguyenduccanh,Tiểu Học Nguyễn Đức Cảnh,th,phuongcholon
thnguyenvietxuanq5,Tiểu Học Nguyễn Viết Xuân,th,phuongcholon
thcshongbang,THCS Hồng Bàng,thcs,phuongcholon
thcsmachkiemhung,THCS Mạch Kiếm Hùng,thcs,phuongcholon
thcstranboico,THCS Trần Bội Cơ,thcs,phuongcholon
mghoami3,Mầm non Họa Mi 3,mn,phuongchoquan
mn1-choquan,Mầm non 1,mn,phuongchoquan
mn3q5,Mầm non 3,mn,phuongchoquan
mnvanganh-choquan,Mầm non Vàng Anh,mn,phuongchoquan
mnvanhkhuyen,Mầm non Vành Khuyên,mn,phuongchoquan
thbausen,Tiểu Học Bàu Sen,th,phuongchoquan
thhamtu,Tiểu Học Hàm Tử,th,phuongchoquan
thlevantamq5,Tiểu Học Lê Văn Tám,th,phuongchoquan
thtranbinhtrong,Tiểu Học Trần Bình Trọng,th,phuongchoquan
thcsbadinh,THCS Ba Đình,thcs,phuongchoquan
mnhoahong6,Trường Mầm non Hoa Hồng 6,mn,phuongdian
thanbinhb,Trường Tiểu học An Bình B,th,phuongdian
thdian,Trường Tiểu học Dĩ An,th,phuongdian
thdianb,Trường Tiểu học Dĩ An B,th,phuongdian
